,1417.824788,250.2431016,121.0843334,211.7059263
Hour,E_WIND,E_BATT-LDES_100HR,E_BATT-LION_2HR,E_BATT-LION_4HR
1,1937.294366,0.003915021,0.003960415,0.003905099
2,2120.660766,0.003891145,0.003924952,0.003879321
3,1858.635151,0.003909778,0.003928847,0.003899744
4,1068.45796,294.5631531,65.99123663,93.43829851
5,311.8200764,634.6283671,156.5783603,427.9864486
6,301.6769153,633.4111189,160.6939687,438.9374677
7,1143.236548,268.9571895,61.16730639,99.68373513
8,720.5188275,507.2996281,122.2336509,253.9252281
9,2776.890106,0.00384285,0.003849425,0.003840915
10,2538.615668,0.003856737,0.003875298,0.003861866
11,1752.087353,3.732258401,3.812587348,3.750909581
12,1099.936459,293.5133514,172.1024967,208.7184537
13,2166.140602,0.0038738,0.003913595,0.003892406
14,3185.658277,0.003791266,0.00383564,0.003806606
15,2185.552906,0.003857315,0.003897601,0.003877092
16,619.3456322,457.5104403,247.8633537,395.6987245
17,2239.491706,0.00386104,0.003896251,0.003882976
18,2127.409122,0.00388394,0.003932238,0.003913332
19,2976.329454,0.003808867,0.003848466,0.003828517
20,1922.561592,0.003918166,0.003958355,0.003944679
21,1244.309136,235.299567,109.7356868,165.7027558
22,1754.894084,0.003968757,0.003983441,0.003983459
23,757.4437432,427.8039255,140.0264644,275.7400823
24,641.3207845,441.7421897,158.0794686,292.1718551
25,2868.442042,0.003777219,0.00379442,0.003780839
26,1805.515551,0.003835775,0.003862372,0.003845252
27,675.1308876,395.2919849,165.2386808,237.7624315
28,2986.27757,0.003760704,0.003780827,0.003760085
29,550.4087958,510.4810729,170.6128075,272.3449164
30,3275.784948,0.003736367,0.003738305,0.003725183
31,416.2289107,757.0583764,120.8488549,365.0836973
32,305.4598172,757.0584296,168.5612658,513.4245097
33,363.4112505,757.0584173,178.3614026,524.5730237
34,465.0326881,757.0584145,152.5578346,488.1593781
35,1469.935655,757.058338,9.89E-05,0.000102341
36,572.6551269,757.0584086,145.9147463,410.8429316
37,1625.928338,757.0583257,0.000110279,0.000117633
38,74.12064187,757.0584083,400.5093003,649.2438639
39,988.5886281,757.0583625,49.08199416,60.76868117
40,2503.768424,176.0936194,0.003365298,0.003423125
41,2459.134226,122.55193,0.003408464,0.003456948
42,1064.273965,757.0255944,74.18961796,120.9280399
43,163.1935113,756.5291521,420.0779699,667.8970108
44,1794.487062,179.25591,0.013146275,0.011852926
45,2533.950854,0.003872936,0.003770852,0.00376391
46,2653.558113,0.003835404,0.003758575,0.003744048
47,1388.214692,264.5919678,37.20039369,35.31866706
48,2827.469943,0.003790294,0.003729129,0.003708289
49,650.0003361,664.8346818,161.9630541,177.6811341
50,528.362693,671.6822592,210.6273313,255.9641355
51,3173.253503,0.003744862,0.003699388,0.003674439
52,2299.589547,0.003803516,0.003768056,0.00374692
53,49.61933423,703.905454,331.4634969,543.6080507
54,3070.788785,0.003750704,0.003703627,0.003687142
55,2024.475604,0.003851758,0.003805496,0.003800097
56,349.1012602,704.2257696,315.6873198,548.474887
57,672.6920817,673.3017583,218.2278393,371.0657685
58,3305.69334,0.003746117,0.003699487,0.003688853
59,3190.137768,0.003744824,0.003701219,0.003688078
60,1038.668788,566.9931817,33.56233949,108.0027731
61,243.8018228,714.4651612,158.4015639,613.6452278
62,102.3106028,721.4010715,233.0980185,624.2741572
63,2687.373289,0.006512712,0.006219573,0.006276412
64,2083.545741,0.00760527,0.007394897,0.007393153
65,1343.321421,129.7498499,128.0024199,140.4959942
66,2128.203228,0.008016443,0.008071311,0.007936134
67,1275.095941,175.1962124,180.0250632,222.0712502
68,2699.199505,0.00659931,0.007333414,0.006640819
69,3129.046087,0.005735128,0.006380072,0.005780084
70,2700.30919,0.006159635,0.007194636,0.006243698
71,2746.209552,0.005857178,0.006574442,0.005916449
72,800.5302005,275.9528692,161.2079982,290.9710902
73,2222.008015,0.006674513,0.006682502,0.006695075
74,491.778598,472.5452811,143.224107,390.8919408
75,100.605984,619.7750095,251.7115484,530.9470846
76,2301.406757,0.006444271,0.006174453,0.006451181
77,800.3322676,292.3368106,123.1844269,274.9820066
78,2332.917298,0.00628459,0.006294054,0.006361379
79,2413.547247,0.006217901,0.006237045,0.006321178
80,18.91601819,680.7659895,337.9370715,599.8713145
81,1568.853345,48.53706961,37.65934842,50.29386289
82,1958.261744,0.007371784,0.007466091,0.007725217
83,1890.059103,0.007469469,0.007802666,0.007950974
84,2427.981331,0.006254899,0.006557164,0.006610945
85,1379.420436,120.1272127,133.1669081,232.4504756
86,2273.70347,0.00649695,0.006998177,0.007071034
87,1121.109119,140.9799537,209.728291,356.7828008
88,2053.117787,0.00648754,0.007544339,0.007519553
89,1751.454016,0.007001278,0.008987874,0.008804261
90,1599.811964,0.006290126,0.008499346,0.008140694
