Hour,E_BATT-LDES_1000HR,E_BATT-LDES_100HR,E_BATT-LION_2HR,E_BATT-LION_4HR
1,0.0002390451420393054,36.53660111511887,70.65784758377376,0.117065164560176
2,0.00023942817968277173,47.608785161765596,142.3271419769691,0.11800072079587583
3,0.00023905152204828177,33.87979127785816,119.40515567099371,0.12052561066506694
4,0.00018740212640819097,0.0011947636422496722,0.0015408077405058042,0.001460094145090708
5,0.00018426390660534008,0.001118819781807708,0.0014795841157469421,0.0014196322425918968
6,0.0001840188585820735,0.0011179201620227905,0.0014793173334635736,0.0014296072219745924
7,0.00018555060041871565,0.0011424722161133241,0.0014973041756418182,0.001451079414265252
8,0.0001839243469771176,0.001118705415943133,0.0014796288708849206,0.0014371303890448983
9,0.00022354176030998119,0.004742143622501493,263.33234651830963,0.04520174531007184
10,0.00022282018263264255,0.004639287049533608,132.71925520854734,0.0455835285107738
11,0.0001842300546305473,0.001124541419805855,0.0014834253032347336,0.0014443634152846141
12,0.00018287187510247478,0.0011146878798944404,0.0014766740496490259,0.0014386579038958127
13,0.00022034438607305848,0.004277384571358987,1.5532743839963958,0.037620948263830264
14,0.00022308065756422322,0.004750275490044783,297.44219525382834,0.04762320673889115
15,0.00022185048731820944,0.004556917681763639,65.88177617867744,0.04846507168069526
16,0.0001822329892890489,0.00111276585239316,0.0014751603152201992,0.0014427479973738748
17,0.00018531841521813038,0.0011684287542283837,0.0015252736849312315,0.0014895257138950412
18,0.00018321515955214247,0.0011212675587861263,0.0014809029289339542,0.0014510268050570894
19,0.00022184029206066846,0.004629179754782318,140.8419272440939,0.052842246790701985
20,0.0001833872195104107,0.001125448275087122,0.0014821194268070717,0.001451037841346058
21,0.0001824309968578271,0.0011160627814110692,0.0014766178485022805,0.0014440430286893162
22,0.0001850154176506512,0.0011687736317439466,0.0015133707576345042,0.0014759178223473373
23,0.00018279827646503264,0.0011204376787273922,0.001477495523706515,0.0014328439226266405
24,0.00018324670864717263,0.0011275626911787183,0.0014787947742810345,0.0014188506495268652
25,0.0002388814096173264,138.4218067617074,323.4228424472917,0.1405737306212008
26,0.00023767215951820208,54.73490061298499,155.4250346394957,0.1403258486966379
27,0.0001963065151124608,0.0016035964994219078,0.0015746985076397558,0.0021728035482173375
28,0.0002389119461376935,169.89926945275323,321.62257773756755,0.14049275839472103
29,0.00019520494766197438,0.001586405009977179,0.001568321791663124,0.0021879619973056053
30,0.00023833909745930366,158.31199529656513,344.3105035262078,0.1409822382855296
31,0.0001862042218526045,0.0013516406374336665,0.002781139630057567,0.0033061383823677327
32,0.0001571571052533787,0.0005961031042024221,0.00127130316952241,0.0011758640368100485
33,0.0001563796540156975,0.0005826884171486729,0.001267592572931129,0.0011855286446607047
34,0.00015599602744099388,0.0005782315447766187,0.0012664359858421941,0.0011890124596783003
35,0.00018501318515928006,0.001337855150345924,36.29201337787948,0.02447046103209751
36,0.00015557957268977045,0.0005759405179364946,0.0012654498919889873,0.001189890284697323
37,0.00018466983451342024,0.0013349998900366092,41.65127967022577,0.02403801036097778
38,0.0001550118225469371,0.0005695169617126711,0.00126101090898188,0.0011823629329247277
39,0.0001843478844311178,0.0012243441012177892,8.285833764730203,0.02102866464623209
40,0.00018569367035406331,0.0014464240180030795,142.78330847940845,0.02099365451399855
41,0.00018533913555333475,0.0014216210250997962,104.55482196450518,0.019954780801583596
42,0.00015494487917260978,0.0005751135334541827,0.001261513398489018,0.0011625717228261445
43,0.00015424860406175006,0.0005628909107142227,0.0012528972347573017,0.001143148283118524
44,0.0001862646107641478,0.0014022502202158823,0.004434640300110079,0.004062499195772882
45,0.00017924077949053112,0.0011056477146395578,0.0022468062252105287,0.00220165951305938
46,0.0002157817386916158,0.004349488817193878,48.61441072064972,0.10850015209241325
47,0.00017927605222553276,0.0011055450809017088,0.0014818113491145465,0.0015231734246854427
48,0.0002173236929848806,0.004398710802889189,256.67786696769673,0.0943183978366395
49,0.00017895093217625853,0.0011043600503514986,0.001474564950129483,0.0014908137356099383
50,0.00017882808296207633,0.0011039913509002111,0.0014733993923872425,0.0014807784068707217
51,0.00021798826622832935,0.004439393812831942,383.01077969809273,0.07548000747277497
52,0.00021710844825352128,0.004406415409182977,161.88177313769245,0.07013078722657493
53,0.000178580317194722,0.0011036759709194136,0.001471921205520037,0.0014607678039230318
54,0.00021719878881934498,0.004422877586224011,333.07872924337266,0.06680380171078491
55,0.0001792604915469906,0.0011087378548289202,0.0014837425603216408,0.0014677954054912645
56,0.00017782478996711812,0.0011007986317424212,0.0014687936673247167,0.0014516767182296937
57,0.00017785041548568949,0.0011014988646101808,0.0014699213809091223,0.00144894126995664
58,0.0002160239277140396,0.004401069358101356,183.85574075406598,0.056265990096970094
59,0.00021602094035785225,0.004406925174289352,229.6850373054634,0.05418028390460786
60,0.00017803801571057368,0.0011044111289152665,0.0014735059962258169,0.0014431940069420512
61,0.00017770187949611778,0.0011030620277129209,0.001471206418046486,0.0014383600973090934
62,0.0001775753430948097,0.0011037261806552464,0.0014711503067950228,0.0014328864593603277
63,0.00022560262732151308,0.004442404786545387,252.02346000894997,0.042418618548567766
64,0.00022419503155084126,0.004438014812487201,84.31650402354586,0.03853955598671113
65,0.00018537905498423237,0.0011128620266945516,0.0014821144836084936,0.0014234773857020313
66,0.00018519920094628485,0.0011156835273414263,0.0014854413597213672,0.001416768047123317
67,0.0001838765505126645,0.0011115513570577288,0.0014774331495547865,0.0013863386695018758
68,0.00023820709722017697,21.009061783483222,59.97931874999287,0.09604661681128651
69,0.00023928903772283736,54.131802366696625,184.3263863246383,0.08576971389491886
70,0.00023914999156771313,56.26531607848532,153.51496998713262,0.08061703709316896
71,0.00023940358282865086,88.53165209445817,252.1828497459466,0.07939413436122776
72,0.0001985037474103152,0.0015888386457237607,0.0015789310781384157,0.0015825203043062124
73,0.00023874392673606135,59.39198629870802,215.64278853561447,0.08108056915959784
74,0.00019788024764203293,0.0015832760200094095,0.0015765974120955284,0.0015851847736417463
75,0.000197214662044933,0.0015759135386382433,0.0015720280116966463,0.0015844939895247466
76,0.00023825319225004527,54.30393948262546,258.4000228289622,0.08823729163973495
77,0.00019780366038348325,0.0016031480742223765,0.0015869090389206888,0.0016100189100237523
78,0.0002377458598429964,48.791808746080044,233.93623869570473,0.09606336622830282
79,0.0002373078104171589,39.729588530936915,207.49427927745626,0.10392816191033694
80,0.00018298009298733982,0.0011133221402517927,0.0014764699341245446,0.0013839584707234954
81,0.0001840615028955699,0.0011285381528063588,0.0014912288333912727,0.001418277806593539
82,0.00018394549158416931,0.0011337781104969879,0.0014934663914843035,0.00142973077237488
83,0.000183699334416734,0.001129898370580586,0.001491127639267727,0.0014318532006285863
84,0.00022025753832322136,0.004539193331676477,46.1056713334719,0.0389345429571855
85,0.00018240705168237915,0.001114957439088381,0.0014784928331305792,0.0014244069808545079
86,0.00018337268509399936,0.0011352013506258603,0.0014912369530865753,0.001434189135803169
87,0.0001822625978105956,0.0011158126785168999,0.0014774038943289013,0.0014185088390956393
88,0.00018386524972695528,0.0011643391064580409,0.0014917111481771743,0.0014223356235528995
89,0.00018443847682416063,0.0011765800035306504,0.0014881728810991362,0.001397515142131359
90,0.0002367008384354121,13.263685261241703,13.914934682289154,0.062460806974487394
91,0.0002548582638911166,386.64796770547366,17.718182641312083,0.04192703036978597
92,0.0002530749937895233,158.94819891884643,9.90337738533642,0.03307561060134753
93,0.0002534019069368365,147.104318090578,8.03074948364923,0.02877901840161338
94,0.00025425795163837344,163.5234074845934,7.022050931601243,0.026201261893408573
95,0.0002553289405371197,214.51895509030484,6.42611064808149,0.024572329010940572
96,0.00027117819084923524,503.1112188329549,66.25432861138292,0.027234184284116416
97,0.0002719583907890599,357.4372510742804,6.155135411180684,0.02396410691150691
98,0.0002705901120539762,410.32482304329443,6.145664633348146,0.023608083558736448
99,0.00027170546221130473,505.0279938993345,174.74679165854468,0.026302078379249777
100,0.00027075294658614126,444.6780654789456,6.108967070366065,0.02411490721109748
101,0.0002724313083795725,506.07619815821164,353.6486591374675,0.02736382904412955
102,0.0002666633064414732,84.61936757669334,5.200713696900506,0.022936912435141888
103,0.00026660539351025655,208.53512579503143,5.593758899572283,0.023893554750759907
104,0.0002670527057850139,504.4100279839949,155.40599039956786,0.02802168594607739
105,0.00023716662080666326,3.2128248580161443,2.098445323567969,0.02564311606692564
106,0.0002372032140548867,73.32822776347935,7.3042368999809035,0.029976810788285665
107,0.00024340173588767086,446.9943473405425,15.327749887242168,0.03527834828373486
108,0.00019697631650726811,0.0016815108280120992,0.0015720113296066752,0.001521222488706161
109,0.0001953974629749971,0.0016237824116308237,0.0015645868804219775,0.001525953688766126
110,0.00023717689804068939,114.19851428382108,151.09680945363556,0.0556439817011105
111,0.00023767137624187179,190.33789932115877,245.52750842624064,0.06455865750229318
112,0.00023447461498654238,27.320213764528873,59.058795839972184,0.08157713104143877
113,0.0001800050424001996,0.0011100335160202249,0.0014728869097716442,0.0013625826247853
114,0.00021814209030472794,0.00450374248753605,152.50519158050173,0.026864485505613763
115,0.00018044699332010245,0.0011143315078133965,0.0014798448271364044,0.0014173364428275213
116,0.00017973478318924436,0.0011097559335206566,0.001476090267156779,0.0014257412542627624
117,0.00017914075793318922,0.001107180193360418,0.0014730511565614654,0.0014290931571116258
118,0.00021795419062972432,0.004514529979041088,353.82652233454627,0.046938123046179774
119,0.00017857534418773662,0.0011052803785213036,0.0014710907415394253,0.0014345363740227918
120,0.00021651661595916688,0.004420307888962184,54.009889669811244,0.05028806529639433
121,0.0001818486152836001,0.0011514147653047732,0.0016105646480834466,0.0015578505213181737
122,0.00017831067678882276,0.0011047940342298718,0.0014702432361254276,0.0014436205849111669
123,0.0002174634099684891,0.004509038915356566,366.8607530534572,0.0572702255828813
124,0.0002164018527783732,0.004435873035648111,97.51643499130222,0.05852170184023476
125,0.00021643416909223378,0.0044435201328239015,168.48961828009806,0.06433219471417516
126,0.0001788603217793458,0.0011082706621165976,0.0014792128670567096,0.0014755781940807206
127,0.00017795672881819232,0.0011043766979670817,0.001474948406070409,0.001479794154997404
128,0.00021481154556211317,0.0043802207293614035,92.86569257921454,0.08667052281690878
129,0.0002137602249321175,0.004345180867958255,28.832058119552727,0.09624701946507287
130,0.0001762823975498443,0.0010990185400138427,0.002324190782447687,0.0022632994645349212
131,0.00017675173357007223,0.001101813574869432,0.003988731950006143,0.0036780597144177125
132,0.00014686384528884994,0.0004893818635400069,0.0012488845444632705,0.0011554407500786598
133,0.00014693392437949048,0.0004898928925732383,0.0012513208771037345,0.0011716668847749617
134,0.00017604056670572667,0.0011031380291237648,35.77936450924379,0.023820801348325486
135,0.0001752397368119634,0.0010995752453047832,22.661606483309825,0.02540252839792007
136,0.00017525000650291635,0.0010997305403888818,27.194286655691478,0.02801353038379394
137,0.00014656183860717559,0.0004887398422072041,0.0012492319832734392,0.0011964843756911113
139,0.00014639657303138685,0.0004881954387793036,0.0012471102315387385,0.0011964660383847227
140,0.00017648175850719985,0.0011018672177514487,29.97547365432107,0.030520800206848483
141,0.00017664910617779504,0.0011027288945612641,31.17334354962541,0.02869110734428762
142,0.00014698646627119255,0.0004889793720058255,0.0012496904599887443,0.0011878338946401752
143,0.00017758077831336763,0.0011115442428299724,172.06184513178053,0.02831296334000351
144,0.0001778701542554008,0.001112586646891227,250.14822595408964,0.02623570448704417
145,0.00017790525594895502,0.0011128520714617203,259.8881106713388,0.02471449083031669
146,0.00017609227025498292,0.0010993981162848402,1.7387244383539462,0.020185866399862872
147,0.00017585596766257254,0.0010984613630857288,1.7426980180919216,0.01957567659729242
148,0.00017642792857644962,0.0011016371998238943,1.8007454796449187,0.01928808720442164
149,0.00017497753936231223,0.001093700055296397,1.7143364718211747,0.018872037917026088
150,0.00017694259121130707,0.0011099432251608797,48.70357394466641,0.02096432899424291
151,0.00017635625879159359,0.0011023801989095959,1.8939624025842525,0.019048135517777214
152,0.0001469534506478344,0.000490918469777542,0.0012515335539392926,0.0011655988976234108
153,0.00017614629808033842,0.0011021967280634229,1.9578954559170134,0.018601575152023934
154,0.00017552696163654536,0.0010993665504536055,1.8639154427684617,0.01799865447582928
